6/20/2018 16:36,"b'RT @funder: ""Just tell me whatever you want me to do. I will go to the borders. I\'d get arrested again. If necessary, I\'m prepared to go to\xe2\x80\xa6'"
,
6/20/2018 16:36,b'RT @scapelliti: The attorneys at @HKMLaw will provide FREE legal counseling and representation to all FEDERAL EMPLOYEES who refuse to separ\xe2\x80\xa6'
,
6/20/2018 16:36,"b""My blood is boiling #KeepFamiliesTogether \n\nThese congressmen think they've done so much.....what they've done is k\xe2\x80\xa6 https://t.co/mbRTxqB4vZ"""
,
6/20/2018 16:36,"b'RT @DeniseFlores: ""If you\'re strong, you don\'t have any heart. Perhaps I\'d rather be strong."" @realDonaldTrump, just now #FuckTrump #KeepFa\xe2\x80\xa6'"
,
6/20/2018 16:36,"b""The world wasn't going to allow you, you ignorant sob, to do as you please. You are not a king and we will be votin\xe2\x80\xa6 https://t.co/TqzBxTLdwV"""
,
6/20/2018 16:36,"b'RT @SenSchumer: It\xe2\x80\x99s as easy as this Mr. President. Just sign on the line, @realDonaldTrump. #KeepFamiliesTogether https://t.co/rhZcd9Iib2'"
,
6/20/2018 16:36,"b'RT @TXCivilRights: Let\'s be clear, this was a manufactured crisis created by the administration to sow fear &amp; confusion. The ""zero-toleranc\xe2\x80\xa6'"
,
6/20/2018 16:36,b'RT @AynRandPaulRyan: No word on how the 2.5-10k children who have been separated from their parents with no plans of reconciliation will be\xe2\x80\xa6'
,
6/20/2018 16:36,"b'RT @RepJoeKennedy: Three days ago, an HHS official told me I could not enter a taxpayer funded tent city that from all appearances was noth\xe2\x80\xa6'"
,
6/20/2018 16:36,"b""RT @Robyn_Resists: While Trump has our focus on #KeepFamiliesTogether he's working on destroying health care protections for pre-existing c\xe2\x80\xa6"""
,
6/20/2018 16:36,"b""RT @AynRandPaulRyan: BREAKING: @MSNBC is reporting that Trump has said that he's about to sign an executive order to #KeepFamiliesTogether.\xe2\x80\xa6"""
,
6/20/2018 16:36,"b'RT @funder: ""Just tell me whatever you want me to do. I will go to the borders. I\'d get arrested again. If necessary, I\'m prepared to go to\xe2\x80\xa6'"
,
6/20/2018 16:36,"b'RT @RepJoeKennedy: Three days ago, an HHS official told me I could not enter a taxpayer funded tent city that from all appearances was noth\xe2\x80\xa6'"
,
6/20/2018 16:36,b'RT @RepTedDeutch: \xe2\x80\x9cThe crying babies don\xe2\x80\x99t look good politically.\xe2\x80\x9d -@realdonaldtrump\n\nPolitics don\xe2\x80\x99t matter. This is about young children w\xe2\x80\xa6'
,
6/20/2018 16:36,b'RT @courtneygwalsh: If in Canada and you are furious that the US is placing children in internment camps and violating both human rights an\xe2\x80\xa6'
,
6/20/2018 16:36,b'RT @RESISTAllDayOK: Inciting violence and intimidation for political purposes is called terrorism.  Donald Trump calls it politics. \n#Wedne\xe2\x80\xa6'
,
6/20/2018 16:36,b'RT @funder: BREAKING: Here\xe2\x80\x99s video of very young girls from the southern border being transported in NYC in the middle of the night after b\xe2\x80\xa6'
,
6/20/2018 16:36,b'RT @BruceBourgoine: .@SenatorCollins is one of the few US Senators from Maine I can think of who has become increasing less powerful and le\xe2\x80\xa6'
,
